rm,Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Andrew Wiggins,31:14,4,16,0.250,2,6,0.333,3,4,0.750,0,2,2,1,0,1,4,4,13,-28
1,Stephen Curry,30:19,7,21,0.333,2,10,0.200,4,4,1.000,3,1,4,10,2,0,3,1,20,-23
2,Kelly Oubre Jr.,25:39,3,14,0.214,0,6,0.000,0,0,,4,3,7,2,1,2,3,1,6,-28
3,James Wiseman,24:17,7,13,0.538,1,1,1.000,4,8,0.500,1,5,6,0,2,0,1,2,19,-10
4,Eric Paschall,21:33,2,6,0.333,1,1,1.000,1,2,0.500,1,0,1,0,0,1,0,1,6,-28
6,Brad Wanamaker,21:40,0,2,0.000,0,1,0.000,3,4,0.750,0,1,1,3,0,0,1,2,3,1
7,Jordan Poole,17:55,1,4,0.250,0,1,0.000,0,0,,0,2,2,3,0,0,2,2,2,-3
8,Juan Toscano-Anderson,13:15,2,2,1.000,0,0,,0,0,,0,4,4,2,0,2,0,3,4,-9
9,Marquese Chriss,12:26,4,10,0.400,1,3,0.333,0,0,,3,5,8,1,0,0,0,2,9,-6
10,Damion Lee,12:14,1,2,0.500,1,1,1.000,0,0,,1,6,7,2,0,0,0,0,3,8
11,Kent Bazemore,11:35,1,2,0.500,0,1,0.000,0,0,,0,2,2,2,1,0,2,3,2,-3
12,Kevon Looney,11:17,2,4,0.500,0,0,,0,1,0.000,0,2,2,0,0,0,2,3,4,-10
13,Mychal Mulder,6:36,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,9
0,Kyrie Irving,25:18,10,16,0.625,4,7,0.571,2,2,1.000,1,3,4,4,0,0,1,3,26,32
1,Kevin Durant,24:56,7,16,0.438,1,2,0.500,7,7,1.000,1,4,5,3,3,1,1,3,22,26
2,Joe Harris,20:46,4,8,0.500,2,5,0.400,0,0,,2,5,7,2,0,1,2,2,10,21
3,Spencer Dinwiddie,19:57,2,6,0.333,1,3,0.333,4,4,1.000,0,5,5,4,0,0,3,1,9,24
4,DeAndre Jordan,17:03,2,3,0.667,0,0,,0,2,0.000,2,9,11,1,1,1,3,2,4,21
6,Caris LeVert,24:49,6,17,0.353,3,5,0.600,5,6,0.833,1,8,9,5,2,1,2,1,20,18
7,Landry Shamet,19:43,1,4,0.250,1,4,0.250,3,4,0.750,0,1,1,0,1,0,2,3,6,12
8,Jarrett Allen,19:37,2,3,0.667,0,0,,4,5,0.800,3,4,7,2,1,2,2,0,8,12
9,Jeff Green,17:17,3,4,0.750,1,2,0.500,0,0,,0,0,0,1,1,0,1,3,7,6
10,Taurean Prince,16:06,0,1,0.000,0,1,0.000,1,2,0.500,0,1,1,0,1,1,0,1,1,3
11,Reggie Perry,7:46,1,3,0.333,0,1,0.000,0,0,,1,1,2,1,0,0,0,0,2,-8
12,Bruce Brown,7:31,1,3,0.333,0,1,0.000,0,0,,0,1,1,1,0,0,2,1,2,-7
13,Timothé Luwawu-Cabarrot,6:36,2,6,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,2,5,-9
14,Rodions Kurucs,6:36,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-9
15,Tyler Johnson,5:59,0,1,0.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-12
0,Paul George,35:46,13,18,0.722,5,8,0.625,2,2,1.000,0,6,6,3,1,0,5,3,33,17
1,Kawhi Leonard,34:01,10,26,0.385,1,8,0.125,5,5,1.000,0,2,2,3,2,0,3,5,26,1
2,Nicolas Batum,28:11,1,4,0.250,1,3,0.333,0,0,,1,5,6,6,2,0,1,2,3,-2
3,Patrick Beverley,22:07,4,9,0.444,2,5,0.400,0,0,,4,2,6,3,0,0,2,4,10,10
4,Serge Ibaka,20:33,5,7,0.714,2,3,0.667,3,5,0.600,2,4,6,0,0,1,1,3,15,-8
6,Ivica Zubac,26:31,4,5,0.800,0,0,,3,4,0.750,3,3,6,1,1,1,1,4,11,17
7,Lou Williams,25:58,4,9,0.444,2,4,0.500,1,3,0.333,0,2,2,3,0,0,1,2,11,1
8,Luke Kennard,21:03,2,6,0.333,0,3,0.000,0,0,,0,2,2,2,2,1,1,3,4,-3
9,Patrick Patterson,19:36,1,5,0.200,1,4,0.250,0,0,,1,2,3,1,2,0,1,2,3,9
10,Reggie Jackson,3:21,0,3,0.000,0,2,0.000,0,0,,0,1,1,0,0,0,0,1,0,-1
11,Terance Mann,1:01,0,1,0.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
12,Amir Coffey,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
13,Mfiondu Kabengele,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
14,Daniel Oturu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Anthony Davis,30:53,8,15,0.533,0,2,0.000,2,2,1.000,0,7,7,2,0,0,4,1,18,-16
1,LeBron James,28:21,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,2
2,Dennis Schröder,27:48,5,15,0.333,2,5,0.400,2,4,0.500,1,11,12,8,0,0,1,4,14,-10
3,Kentavious Caldwell-Pope,23:03,2,4,0.500,1,3,0.333,4,4,1.000,0,2,2,1,2,1,2,2,9,-9
4,Marc Gasol,12:02,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-8
6,Montrezl Harrell,32:15,6,7,0.857,0,0,,5,7,0.714,4,6,10,3,0,1,1,1,17,-3
7,Kyle Kuzma,26:38,6,11,0.545,1,3,0.333,2,2,1.000,0,1,1,0,0,0,2,2,15,1
8,Markieff Morris,19:00,1,3,0.333,1,2,0.500,2,3,0.667,1,3,4,1,0,0,0,0,5,14
9,Alex Caruso,16:40,1,5,0.200,1,4,0.250,0,0,,0,2,2,1,0,0,3,0,3,3
10,Wesley Matthews,11:06,0,2,0.000,0,2,0.000,0,0,,0,0,0,0,1,0,0,0,0,-18
11,Talen Horton-Tucker,10:51,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,1,3,6,7
12,Quinn Cook,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
13,Alfonzo McKinnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Jared Dudley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Terry Rozier,37:31,15,23,0.652,10,16,0.625,2,4,0.500,1,2,3,2,2,1,3,5,42,-4
1,Devonte' Graham,37:07,4,13,0.308,2,9,0.222,0,0,,2,1,3,10,0,0,2,1,10,-7
2,Gordon Hayward,36:13,11,18,0.611,4,8,0.500,2,2,1.000,0,4,4,7,1,0,3,4,28,-2
3,P.J. Washington,21:23,1,5,0.200,0,1,0.000,2,2,1.000,0,2,2,2,0,1,0,1,4,-17
4,Cody Zeller,18:57,3,6,0.500,0,2,0.000,0,1,0.000,1,2,3,0,3,1,1,1,6,-10
6,Bismack Biyombo,24:21,5,5,1.000,0,0,,1,5,0.200,1,3,4,0,0,1,2,1,11,0
7,Miles Bridges,22:05,3,10,0.300,0,5,0.000,0,0,,1,5,6,1,1,0,0,1,6,6
8,Cody Martin,21:01,2,3,0.667,0,0,,1,1,1.000,1,4,5,4,0,0,0,1,5,2
9,LaMelo Ball,15:48,0,5,0.000,0,3,0.000,0,0,,0,1,1,3,2,0,3,2,0,2
10,Jalen McDaniels,5:34,1,2,0.500,0,0,,0,0,,1,0,1,0,1,0,1,0,2,-5
11,Caleb Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Nick Richards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Vernon Carey Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Malik Monk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Collin Sexton,37:05,9,16,0.563,3,4,0.750,6,9,0.667,0,2,2,5,0,0,2,4,27,6
1,Larry Nance Jr.,33:34,5,9,0.556,1,1,1.000,2,2,1.000,5,8,13,8,3,2,2,4,13,3
2,Isaac Okoro,33:32,4,5,0.800,1,2,0.500,2,2,1.000,0,3,3,5,0,0,2,1,11,7
3,Darius Garland,32:33,7,13,0.538,4,8,0.500,4,4,1.000,0,6,6,6,1,0,2,3,22,4
4,Andre Drummond,27:13,7,18,0.389,0,1,0.000,0,0,,3,11,14,4,1,0,5,2,14,-5
6,JaVale McGee,19:12,6,7,0.857,0,1,0.000,1,1,1.000,1,6,7,1,1,1,1,3,13,12
7,Cedi Osman,17:57,4,9,0.444,3,6,0.500,0,0,,1,3,4,2,0,0,1,2,11,-4
8,Dean Wade,15:52,3,4,0.750,1,2,0.500,0,0,,0,0,0,3,3,0,2,3,7,2
9,Damyean Dotson,13:32,0,1,0.000,0,1,0.000,0,0,,0,1,1,0,1,0,0,0,0,14
10,Dylan Windler,9:29,1,5,0.200,1,4,0.250,0,0,,0,0,0,0,2,0,1,0,3,-4
11,Marques Bolden,0:01,0,0,,0,0,,0,2,0.000,0,0,0,0,0,0,0,0,0,0
12,Lamar Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Thon Maker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Julius Randle,35:28,7,15,0.467,0,2,0.000,3,4,0.750,1,8,9,9,0,0,5,5,17,-5
1,RJ Barrett,34:22,11,15,0.733,3,3,1.000,1,2,0.500,0,8,8,5,0,0,1,3,26,-10
2,Reggie Bullock,25:38,4,10,0.400,3,8,0.375,0,0,,0,1,1,2,1,0,0,3,11,-16
3,Elfrid Payton,22:10,3,7,0.429,1,1,1.000,0,0,,1,1,2,3,1,0,5,3,7,-15
4,Mitchell Robinson,21:10,1,2,0.500,0,0,,1,2,0.500,2,4,6,0,0,3,0,3,3,-17
6,Alec Burks,31:40,6,12,0.500,2,4,0.500,8,9,0.889,0,4,4,3,1,1,1,3,22,4
7,Obi Toppin,23:33,3,12,0.250,3,7,0.429,0,0,,0,3,3,1,0,2,0,0,9,-4
8,Kevin Knox,18:29,2,5,0.400,0,1,0.000,0,1,0.000,0,3,3,0,2,1,2,3,4,-6
9,Immanuel Quickley,12:26,1,3,0.333,0,1,0.000,3,3,1.000,0,1,1,1,1,0,0,0,5,5
10,Nerlens Noel,9:22,1,2,0.500,0,0,,0,0,,1,2,3,1,1,1,2,3,2,0
11,Frank Ntilikina,4:47,0,2,0.000,0,1,0.000,1,2,0.500,0,0,0,0,1,0,0,1,1,-5
12,Theo Pinson,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
13,Ignas Brazdeikis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Dennis Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Jared Harper,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Domantas Sabonis,36:48,11,18,0.611,2,4,0.500,8,12,0.667,4,9,13,5,1,0,4,5,32,12
1,Malcolm Brogdon,34:51,8,16,0.500,2,4,0.500,3,3,1.000,2,5,7,8,2,0,1,2,21,0
2,Myles Turner,28:48,4,9,0.444,0,4,0.000,2,2,1.000,1,7,8,1,0,8,2,1,10,20
3,Victor Oladipo,28:16,9,14,0.643,2,5,0.400,2,3,0.667,0,4,4,4,1,0,1,3,22,5
4,T.J. Warren,22:58,2,8,0.250,0,2,0.000,1,1,1.000,0,1,1,1,0,0,0,2,5,6
6,Doug McDermott,28:17,5,12,0.417,0,6,0.000,3,4,0.750,1,5,6,2,1,0,1,2,13,6
7,Justin Holiday,22:23,2,6,0.333,1,5,0.200,1,2,0.500,0,4,4,0,0,1,1,2,6,-1
8,T.J. McConnell,20:20,2,3,0.667,0,0,,1,2,0.500,1,3,4,5,1,0,1,4,5,17
9,Aaron Holiday,17:19,3,8,0.375,1,4,0.250,0,0,,1,2,3,2,0,0,2,3,7,5
10,Cassius Stanley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Edmond Sumner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Jalen Lecque,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Kelan Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,JaKarr Sampson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Jimmy Butler,35:42,7,15,0.467,0,0,,5,5,1.000,1,2,3,7,7,0,6,1,19,-5
1,Bam Adebayo,34:41,11,16,0.688,0,0,,3,4,0.750,3,8,11,4,0,1,7,4,25,-12
2,Tyler Herro,32:06,6,14,0.429,1,5,0.200,0,0,,0,6,6,4,0,0,4,3,13,-7
3,Duncan Robinson,30:20,4,8,0.500,3,6,0.500,3,3,1.000,0,5,5,1,0,0,1,2,14,-5
4,Maurice Harkless,22:43,1,4,0.250,1,2,0.500,0,0,,0,2,2,1,0,0,0,0,3,-4
6,Goran Dragić,25:58,8,13,0.615,1,4,0.250,3,3,1.000,0,4,4,7,1,0,1,4,20,7
7,Kelly Olynyk,19:59,2,6,0.333,1,3,0.333,0,0,,0,3,3,1,2,0,0,2,5,-3
8,Andre Iguodala,16:50,0,2,0.000,0,0,,0,0,,2,2,4,0,1,1,3,3,0,-3
9,Precious Achiuwa,13:39,3,4,0.750,0,0,,2,4,0.500,1,2,3,0,0,0,0,2,8,6
10,Kendrick Nunn,8:02,0,1,0.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-4
11,KZ Okpala,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Meyers Leonard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Udonis Haslem,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Chris Silva,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Avery Bradley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Nikola Vučević,33:33,5,13,0.385,3,5,0.600,2,8,0.250,2,9,11,3,1,1,2,0,15,0
1,Evan Fournier,30:43,9,13,0.692,3,5,0.600,4,5,0.800,0,0,0,4,3,0,2,2,25,0
2,Markelle Fultz,28:49,6,15,0.400,0,3,0.000,3,3,1.000,0,5,5,4,1,1,4,4,15,3
3,Aaron Gordon,26:00,8,11,0.727,1,4,0.250,3,6,0.500,3,4,7,0,4,0,2,4,20,17
4,Dwayne Bacon,18:59,0,5,0.000,0,1,0.000,0,0,,0,3,3,3,0,0,0,2,0,0
6,Terrence Ross,28:33,6,14,0.429,3,6,0.500,4,4,1.000,0,3,3,1,1,0,3,1,19,9
7,Chuma Okeke,22:00,1,3,0.333,0,1,0.000,1,2,0.500,2,3,5,2,1,0,1,0,3,-11
8,Cole Anthony,19:11,3,5,0.600,0,1,0.000,0,0,,0,2,2,6,2,0,3,1,6,3
9,Michael Carter-Williams,17:45,2,5,0.400,0,2,0.000,0,0,,3,0,3,0,1,1,0,2,4,3
10,Khem Birch,14:27,2,4,0.500,0,0,,2,2,1.000,1,1,2,0,1,0,0,3,6,6
11,Karim Mané,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Mo Bamba,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Jordan Bone,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Gary Clark,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Russell Westbrook,36:18,9,22,0.409,0,2,0.000,3,5,0.600,2,9,11,15,0,0,6,3,21,10
1,Bradley Beal,35:44,11,22,0.500,3,8,0.375,6,7,0.857,0,2,2,3,4,0,6,3,31,6
2,Deni Avdija,28:06,2,2,1.000,2,2,1.000,1,2,0.500,0,4,4,1,1,0,1,3,7,14
3,Thomas Bryant,25:33,5,13,0.385,0,3,0.000,0,1,0.000,1,4,5,0,0,1,2,5,10,2
4,Isaac Bonga,16:43,2,3,0.667,1,1,1.000,0,1,0.000,1,2,3,2,2,0,1,2,5,7
6,Ish Smith,22:53,2,7,0.286,1,2,0.500,2,2,1.000,0,4,4,3,0,1,1,1,7,-21
7,Troy Brown Jr.,22:26,1,3,0.333,1,2,0.500,0,0,,0,3,3,1,0,0,0,2,3,-23
8,Dāvis Bertāns,20:08,4,7,0.571,4,6,0.667,2,2,1.000,0,3,3,1,0,1,0,0,14,-3
9,Robin Lopez,16:32,1,3,0.333,1,1,1.000,0,0,,1,2,3,0,0,1,2,4,3,-16
10,Raul Neto,9:42,0,1,0.000,0,0,,2,3,0.667,0,0,0,1,0,0,0,0,2,-14
11,Moritz Wagner,5:55,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,3,4,8
12,Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Jerome Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Anžejs Pasečņiks,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Joel Embiid,34:50,10,17,0.588,1,1,1.000,8,9,0.889,2,12,14,2,0,1,3,3,29,-2
1,Ben Simmons,32:25,7,12,0.583,0,0,,2,6,0.333,1,8,9,7,2,3,4,3,16,-2
2,Seth Curry,32:16,4,8,0.500,1,5,0.200,4,4,1.000,0,0,0,4,2,0,1,4,13,-1
3,Tobias Harris,31:08,3,13,0.231,0,4,0.000,4,4,1.000,4,4,8,0,0,1,2,4,10,-7
4,Danny Green,18:16,1,6,0.167,0,4,0.000,0,0,,0,0,0,2,2,0,1,2,2,-27
6,Shake Milton,29:44,6,11,0.545,2,4,0.500,5,7,0.714,0,1,1,3,3,0,0,3,19,33
7,Furkan Korkmaz,20:11,4,9,0.444,3,6,0.500,0,0,,0,1,1,0,1,2,2,1,11,14
8,Mike Scott,16:52,1,3,0.333,1,3,0.333,0,0,,0,2,2,0,1,0,0,1,3,13
9,Dwight Howard,13:10,2,2,1.000,0,0,,0,0,,3,7,10,2,0,1,2,3,4,8
10,Tyrese Maxey,10:51,3,6,0.500,0,1,0.000,0,0,,0,2,2,2,0,0,1,0,6,3
11,Matisse Thybulle,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
12,Dakota Mathias,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Tony Bradley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Terrance Ferguson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
